a,b,jaccard,n_a,n_b
sys11802,sys12091,0.15508021390374332,121,95
sys11814,sys11879,0.1659919028340081,133,155
sys11814,sys11952,0.34502923976608185,133,97
sys11814,sys11967,0.21800947867298578,133,124
sys11814,sys11971,0.29357798165137616,133,149
sys11814,sys11987,0.16990291262135923,133,108
sys11814,sys12062,0.20276497695852536,133,128
sys11814,sys12082,0.2956989247311828,133,108
sys11814,sys12087,0.30569948186528495,133,119
sys11814,sys12091,0.14,133,95
sys11879,sys11952,0.14545454545454545,155,97
sys11879,sys11967,0.2236842105263158,155,124
sys11879,sys11971,0.1828793774319066,155,149
sys11879,sys11987,0.100418410041841,155,108
sys11879,sys12062,0.1646090534979424,155,128
sys11879,sys12082,0.1336206896551724,155,108
sys11879,sys12087,0.16595744680851063,155,119
sys11879,sys12091,0.10619469026548672,155,95
sys11952,sys11967,0.13917525773195877,97,124
sys11952,sys11971,0.23,97,149
sys11952,sys11987,0.1388888888888889,97,108
sys11952,sys12062,0.17801047120418848,97,128
sys11952,sys12082,0.2654320987654321,97,108
sys11952,sys12087,0.2781065088757396,97,119
sys11952,sys12091,0.12941176470588237,97,95
sys11967,sys11971,0.2638888888888889,124,149
sys11967,sys11987,0.1485148514851485,124,108
sys11967,sys12062,0.1943127962085308,124,128
sys11967,sys12082,0.1717171717171717,124,108
sys11967,sys12087,0.208955223880597,124,119
sys11967,sys12091,0.10606060606060606,124,95
sys11971,sys11987,0.19534883720930232,149,108
sys11971,sys12062,0.2149122807017544,149,128
sys11971,sys12082,0.22966507177033493,149,108
sys11971,sys12087,0.2946859903381642,149,119
sys11971,sys12091,0.15639810426540285,149,95
sys11987,sys12062,0.16831683168316833,108,128
sys11987,sys12082,0.16129032258064516,108,108
sys11987,sys12087,0.22043010752688172,108,119
sys11987,sys12091,0.14689265536723164,108,95
sys12062,sys12082,0.21649484536082475,128,108
sys12062,sys12087,0.30687830687830686,128,119
sys12062,sys12091,0.14948453608247422,128,95
sys12082,sys12087,0.2824858757062147,108,119
sys12082,sys12091,0.1340782122905028,108,95
sys12087,sys12091,0.18888888888888888,119,95
